decomposition_code,decomposition_name,family,Abell2744__coherence_gain,Abell2744__elastic_persistence_index,Abell2744__emergent_memory_index,Abell2744__evolution_activity,Abell2744__max_conservation_error,Abell2744__neighbour_coherence_gain,Abell2744__pearson_gamma,Abell2744__pearson_kappa,Abell2744__phase_change_from_init,Abell2744__phase_field_coherence,Abell2744__relaxation_time,Abell2744__rms_gamma,Abell2744__rms_kappa,Abell2744__spatial_correlation_length,Abell2744__ssim_gamma,Abell2744__ssim_kappa,Abell2744__temporal_persistence_length,Abell2744__theta_change_from_init,Abell370__coherence_gain,Abell370__elastic_persistence_index,Abell370__emergent_memory_index,Abell370__evolution_activity,Abell370__max_conservation_error,Abell370__neighbour_coherence_gain,Abell370__pearson_gamma,Abell370__pearson_kappa,Abell370__phase_change_from_init,Abell370__phase_field_coherence,Abell370__relaxation_time,Abell370__rms_gamma,Abell370__rms_kappa,Abell370__spatial_correlation_length,Abell370__ssim_gamma,Abell370__ssim_kappa,Abell370__temporal_persistence_length,Abell370__theta_change_from_init,AbellS1063__coherence_gain,AbellS1063__elastic_persistence_index,AbellS1063__emergent_memory_index,AbellS1063__evolution_activity,AbellS1063__max_conservation_error,AbellS1063__neighbour_coherence_gain,AbellS1063__pearson_gamma,AbellS1063__pearson_kappa,AbellS1063__phase_change_from_init,AbellS1063__phase_field_coherence,AbellS1063__relaxation_time,AbellS1063__rms_gamma,AbellS1063__rms_kappa,AbellS1063__spatial_correlation_length,AbellS1063__ssim_gamma,AbellS1063__ssim_kappa,AbellS1063__temporal_persistence_length,AbellS1063__theta_change_from_init,MACS0416__coherence_gain,MACS0416__elastic_persistence_index,MACS0416__emergent_memory_index,MACS0416__evolution_activity,MACS0416__max_conservation_error,MACS0416__neighbour_coherence_gain,MACS0416__pearson_gamma,MACS0416__pearson_kappa,MACS0416__phase_change_from_init,MACS0416__phase_field_coherence,MACS0416__relaxation_time,MACS0416__rms_gamma,MACS0416__rms_kappa,MACS0416__spatial_correlation_length,MACS0416__ssim_gamma,MACS0416__ssim_kappa,MACS0416__temporal_persistence_length,MACS0416__theta_change_from_init,MACS1149__coherence_gain,MACS1149__elastic_persistence_index,MACS1149__emergent_memory_index,MACS1149__evolution_activity,MACS1149__max_conservation_error,MACS1149__neighbour_coherence_gain,MACS1149__pearson_gamma,MACS1149__pearson_kappa,MACS1149__phase_change_from_init,MACS1149__phase_field_coherence,MACS1149__relaxation_time,MACS1149__rms_gamma,MACS1149__rms_kappa,MACS1149__spatial_correlation_length,MACS1149__ssim_gamma,MACS1149__ssim_kappa,MACS1149__temporal_persistence_length,MACS1149__theta_change_from_init
D1,Full S9 (Control),both,0.0018826856568050403,0.9981474227064532,0.9981474227064532,0.04160841070988971,2.220446049250313e-16,0.2262947933348587,0.17100652507105557,-0.0034380104113712544,0.6080473974949001,0.00032688880534392344,6.0,0.05804952596318168,0.16620611206861377,3.0,0.1740721589488422,-0.001832870577292678,4.0,0.44466466919167863,0.0021661336656330736,0.9980274815302298,0.9980274815302298,0.04177687089104649,2.220446049250313e-16,0.19309486332533587,0.1265008530801746,0.2039763982647816,0.646544074622083,0.0007804070294651873,6.0,0.08353371141809102,0.16937529616696367,3.0,0.14444034359270058,-0.027854098583352787,4.0,0.5013412316556719,0.00127968574418645,0.9980359705156546,0.9980359705156546,0.04120851260519979,2.220446049250313e-16,0.29466007293894614,0.09399620573787398,0.10494564177366811,0.5837074388236095,0.0022244200043170827,6.0,0.06360586362812297,0.1460912075481977,3.0,0.10577598054984859,-0.038029439434395094,4.0,0.39703298417336447,0.004810324075567131,0.9981471240665494,0.9981471240665494,0.04143665935511279,2.220446049250313e-16,0.3170208710509692,0.06520497921006715,0.004853112223018255,0.5933216624945651,0.0001975231090148369,6.0,0.06340792711580959,0.19641360422206253,7.0,0.07941222237647907,-0.001097475783687764,4.0,0.4088990418738237,0.005234879763434527,0.9980122136993469,0.9980122136993469,0.04108848471338288,2.220446049250313e-16,0.44015479421269466,-0.045207470489848245,0.11334116065064097,0.6188402532060202,0.0012228998417498857,6.0,0.09491845458071958,0.12135854463161654,4.0,-0.011834656996870873,0.04606950573994151,4.0,0.4533807215119778
D2,Phase frozen / Orientation evolves,orient,0.002504390132065365,0.997982115686562,0.997982115686562,0.04118386277543342,2.220446049250313e-16,0.22471742015151885,0.17228998789353245,0.00030689346938347467,0.0,0.00046091326358733324,6.0,0.05688437414554072,0.16386339483220125,3.0,0.17746486054327743,-0.0028038536611587482,4.0,0.44466466919167863,0.002927253125089942,0.9977909560604449,0.9977909560604449,0.041188372968230844,2.220446049250313e-16,0.19120054329007086,0.13635027904865407,0.20033527917985178,0.0,0.0006697498600423782,6.0,0.08326651750047313,0.16945242445228506,3.0,0.15336443525427856,-0.02760342369578511,4.0,0.5013412316556719,0.0012184336195361482,0.9977693841206211,0.9977693841206211,0.040822802159396675,2.220446049250313e-16,0.29242332194955256,0.09404163675628067,0.09433297991610266,0.0,0.002426348316365794,6.0,0.06346248833261536,0.14639720840804735,3.0,0.10590123728498113,-0.03350697863149305,4.0,0.39703298417336447,0.00429075418187446,0.9980012385626998,0.9980012385626998,0.041051147145901384,2.220446049250313e-16,0.3147668368081362,0.0624105953528656,-0.0008866806831419295,0.0,1.2645124761397514e-05,6.0,0.0630057504813102,0.19528426994547063,7.0,0.07700552710787867,-0.0007706786992415003,4.0,0.4088990418738237,0.004097162498613168,0.997684153997963,0.997684153997963,0.040507423310028295,2.220446049250313e-16,0.43369155588697406,-0.06023227617279175,0.10535310644615957,0.0,0.0006636091790454308,6.0,0.09492822602843262,0.12251810597580526,4.0,-0.021179925912799828,0.04327852806869634,4.0,0.4533807215119778
D3,Orientation frozen / Phase evolves,phase,0.002560269731570643,0.9978722563370933,0.9978722563370933,0.04115613693101785,2.220446049250313e-16,0.22466537019981436,0.1701141649662306,0.0010516233559781769,0.6080473974949001,-0.0002417132462888727,6.0,0.056908447238281513,0.1638854743608997,3.0,0.17542308118046274,-0.0029146240626402855,4.0,0.0,0.0028534211572628903,0.997749806745504,0.997749806745504,0.04117826099245209,2.220446049250313e-16,0.191182609667503,0.13570767005872916,0.20016680027442993,0.646544074622083,0.0007638175050089422,6.0,0.08325033068907656,0.16949881548255988,3.0,0.15276720525645102,-0.0276245550436167,4.0,0.0,0.0012468555914331068,0.99774701835743,0.99774701835743,0.040808398093980125,2.220446049250313e-16,0.2923877520758035,0.09639778409024705,0.09399181384635043,0.5837074388236095,0.0023481062325898124,6.0,0.06335459260892656,0.14630289963351795,3.0,0.10822384344530281,-0.03375609640246936,4.0,0.0,0.004437783297308384,0.9978925093761075,0.9978925093761075,0.04102258114748627,2.220446049250313e-16,0.31466596236773436,0.05642573587450446,0.0009819679770894177,0.5933216624945651,0.0007506987008580717,6.0,0.06349871690836123,0.19626572042327775,7.0,0.07096813263290432,-0.0009173453976367483,4.0,0.0,0.004130603506445604,0.9976542617511239,0.9976542617511239,0.04049678250791536,2.220446049250313e-16,0.43366424943014337,-0.0608875628746181,0.10563534266052017,0.6188402532060202,0.000473967001960075,6.0,0.09495060833150684,0.1224094847245339,4.0,-0.021557620464539434,0.04431344415120119,4.0,0.0
D4,Phase evolution disabled / Orientation active,orient,0.002508717874216947,0.9976810945456281,0.9976810945456281,0.04168517027223378,2.220446049250313e-16,0.2262750052149296,0.17345291935152568,-0.0022296949043268534,0.9510760527638721,0.0010951428663470498,6.0,0.05736501479505193,0.164963308689853,3.0,0.17765383929055428,-0.0021528998205325245,4.0,0.44466466919167863,0.0025104158661154647,0.9973790780085898,0.9973790780085898,0.04183217640607111,2.220446049250313e-16,0.1930071416591792,0.13108100422080046,0.20184807524516366,1.001506820124538,0.0009767271115283247,6.0,0.08333680463346534,0.1701128599443374,3.0,0.14877591432393655,-0.024910951989629615,4.0,0.5013412316556719,0.0013154272816148977,0.9975323396003628,0.9975323396003628,0.04126218292131908,2.220446049250313e-16,0.2946044633728597,0.08579003144034694,0.09809070974046341,0.8396341734762496,0.0026594947457807072,6.0,0.06388554187146478,0.1469073482152473,3.0,0.09782872427193588,-0.03568754171355038,4.0,0.39703298417336447,0.004865942536549655,0.9977282978211385,0.9977282978211385,0.041501516753687996,2.220446049250313e-16,0.31694485545342066,0.06959921744434369,0.005053903601771248,0.890334768639378,0.00024186224673073678,6.0,0.06312146371479363,0.1961674367079498,7.0,0.0837966321824331,-0.001135984020348018,4.0,0.4088990418738237,0.0050702181043577495,0.9973637462709747,0.9973637462709747,0.04115059942324564,2.220446049250313e-16,0.4400572219744935,-0.04347607815774042,0.11290505420506174,0.9571779470744496,0.0006922176501286399,6.0,0.09486870305783433,0.1212554051042454,4.0,-0.010689561313620128,0.04756479055657251,4.0,0.4533807215119778
D5,Orientation evolution disabled / Phase active,phase,0.0027062781906557276,0.9975672009138773,0.9975672009138773,0.04165571139931187,2.220446049250313e-16,0.22620884568264454,0.17112279981212145,-0.0018108678380478877,0.6080473974949001,0.00043069305008444685,6.0,0.05742870874605374,0.16501376726335787,3.0,0.1753018387915,-0.0022004978881298635,4.0,0.9510760527638721,0.0025828245326985164,0.9973491211249595,0.9973491211249595,0.04182035273865144,2.220446049250313e-16,0.19298222939755694,0.13011008754011155,0.20196884698107848,0.646544074622083,0.0012515221470473768,6.0,0.08339857817650755,0.17021041717659743,3.0,0.14791042162043333,-0.025131206228581397,4.0,1.001506820124538,0.0013679944527124608,0.9975099370714582,0.9975099370714582,0.04124838010979713,2.220446049250313e-16,0.2945716961723214,0.08778909841763533,0.09755127817385806,0.5837074388236095,0.0024426091175331205,6.0,0.06373954309895323,0.1465224319874491,3.0,0.0997181279838233,-0.035405606138251444,4.0,0.8396341734762496,0.005088006196861998,0.9976180619720784,0.9976180619720784,0.04147279193505041,2.220446049250313e-16,0.31684479208468397,0.06639897330371902,0.005991983118822673,0.5933216624945651,0.0010152305721490465,6.0,0.0633797474188739,0.1964298073655573,7.0,0.0805698873287778,-0.0012346215987151282,4.0,0.890334768639378,0.005103166735786839,0.9973262939715963,0.9973262939715963,0.04114020776124863,2.220446049250313e-16,0.44002672042255253,-0.04356656411758696,0.11147229819255557,0.6188402532060202,0.0006745764361628147,6.0,0.09482430614458456,0.121185758699901,4.0,-0.010641881035429741,0.04755613274482978,4.0,0.9571779470744496
D6,Phase-Orientation coupling removed,both,0.002595250957783666,0.9978538164055046,0.9978538164055046,0.041672451896239616,2.220446049250313e-16,0.22626668825763974,0.17263753909519064,-0.0022615156678214565,0.6080473974949001,0.0006518992297075932,6.0,0.05738794841157364,0.1650368372244015,3.0,0.17676347214204655,-0.002120422929376504,4.0,0.44466466919167863,0.0024685057982469505,0.9975589243192409,0.9975589243192409,0.041827399177666764,2.220446049250313e-16,0.19300797968664307,0.1306797024996267,0.20152283711009772,0.646544074622083,0.0010867377176856919,6.0,0.08338066595269879,0.1701813332819379,3.0,0.1484170102106342,-0.024963117397057415,4.0,0.5013412316556719,0.0013357932718454,0.997720526490577,0.997720526490577,0.041256322318552224,2.220446049250313e-16,0.29460808396311955,0.08693335263985891,0.09756944752384189,0.5837074388236095,0.0024848454975773798,6.0,0.0638176463270504,0.14673883821586187,3.0,0.09893791271742072,-0.03552787668114894,4.0,0.39703298417336447,0.00497407527978419,0.9978938164705909,0.9978938164705909,0.04148904297353224,2.220446049250313e-16,0.31693237987652423,0.06831808078307938,0.005655768875067389,0.5933216624945651,0.00061362030122379,6.0,0.06325891632174963,0.1962675498269477,7.0,0.08248161841038067,-0.0011842148515006463,4.0,0.4088990418738237,0.005064893975821586,0.9975360144105174,0.9975360144105174,0.041146377368416,2.220446049250313e-16,0.4400801476654762,-0.04348831335287841,0.11134261525014041,0.6188402532060202,0.0006694034484882412,6.0,0.09485876255115866,0.12129925553412345,4.0,-0.010672631227426458,0.0469338050940284,4.0,0.4533807215119778
D7,Phase drives Orientation only,orient-drives,0.0036335167125349345,0.997637886270307,0.997637886270307,0.041276132463040086,2.220446049250313e-16,0.22503282266680003,0.17554352341804755,-0.0003210118522395169,0.6080473974949001,0.00015117152192425904,6.0,0.05723303251458583,0.1646463890366349,3.0,0.18015343619560226,-0.0027397340161191817,4.0,0.3999849059963544,0.004215117371668659,0.9972891097681016,0.9972891097681016,0.041328937106841025,2.220446049250313e-16,0.19169563509903798,0.1347444658639686,0.2040568932799976,0.646544074622083,0.0005107570796194835,6.0,0.0831534654272256,0.16873815216976018,3.0,0.15167959633631323,-0.02335804617643105,4.0,0.4313741305496106,0.0025014986781966915,0.9975697025361743,0.9975697025361743,0.04085768738465447,2.220446049250313e-16,0.2926873297069559,0.09007724857190344,0.09549593434161932,0.5837074388236095,0.0027804248079784616,6.0,0.06315543929617463,0.14468316830687736,3.0,0.10211259657587507,-0.036114598517298,4.0,0.39014532381815403,0.006120220088162711,0.9976680138351561,0.9976680138351561,0.041121930354328505,2.220446049250313e-16,0.3151247571765168,0.06233849838614946,0.005276495181907914,0.5933216624945651,0.00018311344376721112,6.0,0.06374543143784467,0.19719610318286376,7.0,0.07645495575904382,-0.0011266390085213631,4.0,0.38879890604728734,0.006155939251445485,0.9973302938784294,0.9973302938784294,0.040669752874302016,2.220446049250313e-16,0.43608206693871876,-0.05303071616999081,0.10379986045289441,0.6188402532060202,0.0016279409752078288,6.0,0.0951043814332565,0.12172955875347262,4.0,-0.01647369816855385,0.04281367723972887,4.0,0.41863878906351126
D8,Orientation drives Phase only,phase-drives,0.0033380650941742564,0.9977633898065666,0.9977633898065666,0.04131038732544141,2.220446049250313e-16,0.22511463295448386,0.17631905877059448,-0.0012215105276118163,0.3566369474516691,0.0007444105058054354,6.0,0.05723917979116544,0.16462247428791885,3.0,0.18075306290596158,-0.0025231973668492667,4.0,0.44466466919167863,0.004068983633654306,0.9973290673229579,0.9973290673229579,0.041341070364248604,2.220446049250313e-16,0.1917115453378362,0.1343283053311355,0.20455380364385337,0.3938661346885099,0.0009963721567949316,6.0,0.08306521271521618,0.1685743949812337,3.0,0.1512204435133699,-0.02386182040111204,4.0,0.5013412316556719,0.0024483924089512004,0.9975904801692878,0.9975904801692878,0.04087890837371962,2.220446049250313e-16,0.29275242782284694,0.0880716532158478,0.09725106826193627,0.34370175406935366,0.002766321910769131,6.0,0.06322615132370392,0.14478472698024034,3.0,0.10015504516268434,-0.036741955186333504,4.0,0.39703298417336447,0.00588402782502286,0.997768899654442,0.997768899654442,0.041153319293380695,2.220446049250313e-16,0.3152406940310676,0.06445032229651637,0.003711051510862725,0.3431527200034453,0.0001326242053739402,6.0,0.06359084953714025,0.19700005934682494,7.0,0.07857054044267285,-0.000985484403344295,4.0,0.4088990418738237,0.006025297794018407,0.9973725853184859,0.9973725853184859,0.04068853869630862,2.220446049250313e-16,0.43620379222696437,-0.050758609052309174,0.1058381254390853,0.37488493891585417,0.0016578078867422494,6.0,0.09514508925516749,0.12163711124231526,4.0,-0.015087951487496247,0.04404454285604062,4.0,0.4533807215119778
D9,Bidirectional coupling (current S9),both,0.0018826856568050403,0.9981474227064532,0.9981474227064532,0.04160841070988971,2.220446049250313e-16,0.2262947933348587,0.17100652507105557,-0.0034380104113712544,0.6080473974949001,0.00032688880534392344,6.0,0.05804952596318168,0.16620611206861377,3.0,0.1740721589488422,-0.001832870577292678,4.0,0.44466466919167863,0.0021661336656330736,0.9980274815302298,0.9980274815302298,0.04177687089104649,2.220446049250313e-16,0.19309486332533587,0.1265008530801746,0.2039763982647816,0.646544074622083,0.0007804070294651873,6.0,0.08353371141809102,0.16937529616696367,3.0,0.14444034359270058,-0.027854098583352787,4.0,0.5013412316556719,0.00127968574418645,0.9980359705156546,0.9980359705156546,0.04120851260519979,2.220446049250313e-16,0.29466007293894614,0.09399620573787398,0.10494564177366811,0.5837074388236095,0.0022244200043170827,6.0,0.06360586362812297,0.1460912075481977,3.0,0.10577598054984859,-0.038029439434395094,4.0,0.39703298417336447,0.004810324075567131,0.9981471240665494,0.9981471240665494,0.04143665935511279,2.220446049250313e-16,0.3170208710509692,0.06520497921006715,0.004853112223018255,0.5933216624945651,0.0001975231090148369,6.0,0.06340792711580959,0.19641360422206253,7.0,0.07941222237647907,-0.001097475783687764,4.0,0.4088990418738237,0.005234879763434527,0.9980122136993469,0.9980122136993469,0.04108848471338288,2.220446049250313e-16,0.44015479421269466,-0.045207470489848245,0.11334116065064097,0.6188402532060202,0.0012228998417498857,6.0,0.09491845458071958,0.12135854463161654,4.0,-0.011834656996870873,0.04606950573994151,4.0,0.4533807215119778
D10,Phase update delayed (one-step lag),phase,0.002354564515645503,0.9975872761569625,0.9975872761569625,0.0415545946481118,2.220446049250313e-16,0.22612019602982503,0.16983089477584795,-0.00024128126213256827,0.5706670365795238,0.0002498135791975877,6.0,0.05803830784508793,0.16579421879735862,3.0,0.17325050420530463,-0.0023830947019443573,4.0,0.44466466919167863,0.002604673915818515,0.9971096784684622,0.9971096784684622,0.0417012451755194,2.220446049250313e-16,0.192907220096455,0.1286577119587506,0.20415059670277336,0.6104407044937246,0.0012716756673779792,6.0,0.08342621893987996,0.16987860103759045,3.0,0.1465425842131841,-0.027676130342456896,4.0,0.5013412316556719,0.0013911281471413483,0.9973916955564762,0.9973916955564762,0.041143466889316416,2.220446049250313e-16,0.29437471045889485,0.09280095487967484,0.10342169746773451,0.5444811188397713,0.0025635619064556577,6.0,0.06340763122167532,0.1457681208356289,3.0,0.1047074324555773,-0.03791866291053609,4.0,0.39703298417336447,0.005195898368301218,0.9975726794233042,0.9975726794233042,0.0413803190375389,2.220446049250313e-16,0.31674674764691946,0.06840597139522452,0.004605474397690873,0.55754524704998,0.00032721276280295205,6.0,0.06340798879935879,0.19665955526227274,7.0,0.0824649084742964,-0.0010338640152508566,4.0,0.4088990418738237,0.005269642292651839,0.9970943453678454,0.9970943453678454,0.04102182100478355,2.220446049250313e-16,0.4396469263450723,-0.04587013061017695,0.11534474142361383,0.5798440046388365,0.0011871357961825268,6.0,0.09475155941339436,0.12186491168967611,4.0,-0.012450772227306502,0.046811049428799205,4.0,0.4533807215119778
